"CON.7","CIA","G 0.14","G 0.15","G 0.16","G 0.17","G 0.18","G 0.19","G 0.20","G 0.29","G 0.30","G 0.31","G 0.35","G 0.36","G 0.39","G 0.42","G 0.45","G 0.46"
"SYS.1.7.A13","",,X,X,,,,,,,,,X,X,X,,,,,,,X,X
"SYS.1.7.A14","",X,X,X,,X,X,,,,,,X,X,X,,X,X,X,X,X,X,X
"SYS.1.7.A15","",X,X,X,,X,X,,,,,,X,X,X,,X,X,X,X,X,X,X
"SYS.1.7.A16","",X,X,X,,X,X,X,X,X,X,,X,X,X,,X,X,X,X,X,X,X
"SYS.1.7.A17","",,X,,,,,,X,X,,,,X,,,,,,,,X,
"SYS.1.7.A18","",,X,,,,,,,,X,,,X,,X,,,,,,,
"SYS.1.7.A19","",X,,X,,X,X,X,,,,,X,,X,,X,X,,,,X,X
"SYS.1.7.A20","",,X,X,,,,X,,X,,,X,,,,X,,,,,,
"SYS.1.7.A21","",,X,,,,,,X,X,,,,X,,X,,,,,,,
"SYS.1.7.A22","",X,X,X,,X,X,X,X,X,,,X,X,X,,X,X,,,,X,X
"SYS.1.7.A23","",X,X,X,X,X,X,X,,,,X,X,X,X,,X,X,,X,,X,X
"SYS.1.7.A24","",X,X,X,,X,X,X,,X,X,,X,,X,,X,X,X,,,X,X
"SYS.1.7.A25","",,X,,,,,,X,X,X,,,X,,,,,,,,X,
"SYS.1.7.A26","",,,X,,X,X,X,X,X,X,,X,,X,,X,X,,,,X,X
"SYS.1.7.A27","",,X,,,,,,X,X,,X,,X,,,,,,,,X,X
"SYS.1.7.A28","",,X,,,,,,X,X,X,,,,,,,,,,,,
"SYS.1.7.A29","",X,,X,,X,X,X,X,X,X,,X,,X,,X,X,,,,X,X
"SYS.1.7.A30","",X,,X,,,,X,,,,,X,,X,,X,X,,,X,,
"SYS.1.7.A31","",,X,,,,,,X,X,,,,X,,X,,,,X,,X,
"SYS.1.7.A32","CIA",,X,,,,,,,,,,,X,,,,,,,,,
"SYS.1.7.A33","CIA",X,,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,,X,X,X
"SYS.1.7.A34","CIA",X,X,X,,X,X,X,X,X,X,,X,,X,,X,X,,,,X,X
"SYS.1.7.A35","CIA",X,,X,,X,X,X,X,X,,,X,,X,,X,X,,,,X,X
"SYS.1.7.A36","CIA",X,,X,,,X,X,,,X,,X,,,,X,X,X,X,X,,X
"SYS.1.7.A37","CIA",,X,,,,,,X,X,X,,,,,,,,,X,,X,
"SYS.1.7.A38","CIA",X,,X,,,X,X,,,,,X,,,,,,,X,X,X,X
"SYS.3.3","CIA","G 0.14","G 0.15","G 0.16","G 0.17","G 0.19","G 0.22","G 0.23","G 0.25","G 0.27","G 0.29","G 0.31"
"SYS.3.3.A01","",X,X,,,X,X,,,X,,X
"SYS.3.3.A02","",,,,,X,X,X,,,X,
"SYS.3.3.A03","",X,X,X,,X,,,,X,X,X
"SYS.3.3.A04","",X,X,X,X,X,,,,,X,
"SYS.3.3.A05","",X,,,,X,X,,,,,
"SYS.3.3.A06","",,,,,,,,,,,X
"SYS.3.3.A07","",,,,,,,,,X,,
"SYS.3.3.A08","",X,X,,,,X,X,,,,
"SYS.3.3.A09","",,,,,,,,X,X,,
"SYS.3.3.A10","",X,X,,,,X,X,,,,
"SYS.3.3.A11","",,,,,,,,X,,,
"SYS.3.3.A12","",,,,,,,,,X,,
"SYS.3.3.A13","C",X,,,,X,,,,,X,
"SYS.3.3.A14","C",X,,,,X,,,,,X,
"SYS.3.3.A15","C",X,X,,,,,,,,,
"SYS.4.3","CIA","G 0.04","G 0.15","G 0.18","G 0.19","G 0.20","G 0.21","G 0.22","G 0.23","G 0.24","G 0.25","G 0.26","G 0.28","G 0.29","G 0.30","G 0.31","G 0.37","G 0.39","G 0.46"
"SYS.4.3.A01","",,,X,,,,,,,,,,X,,X,,,
"SYS.4.3.A02","",,,,,,,,X,,,,,,X,,,,
"SYS.4.3.A03","",,,,,,X,X,X,,X,X,,,X,,X,,
"SYS.4.3.A04","",,,X,,X,,,,,,,,,,,,,
"SYS.4.3.A05","",X,,,,,,,,,X,,,,,,,,
"SYS.4.3.A06","",,,,,,,,X,,,,,,X,,,,
"SYS.4.3.A07","",,,,,,X,X,X,X,,,,,,,,,
"SYS.4.3.A08","",,X,,,X,X,X,X,,,,X,,,,,,X
"SYS.4.3.A09","",,X,,,,X,X,X,,,,,,,,,,X
"SYS.4.3.A10","",,,,,,,,,,X,,,,,X,,,
"SYS.4.3.A11","",,X,,X,,,,,,,,,,,,,,
"SYS.4.3.A12","CIA",X,,X,,X,X,X,,,,,,,X,,,,
"SYS.4.3.A13","CIA",,X,,,X,X,X,X,,,,X,,,,,,X
"SYS.4.3.A14","CI",,,,,,X,X,,,,,,,X,,,X,
"SYS.4.3.A15","CI",,,,,,X,X,,,,,,,,,,X,
"SYS.4.3.A16","CI",,,,,,X,X,,X,,,,,,X,,,
"SYS.4.3.A17","IA",,,,,,X,X,,,X,X,,,,,,,X
"SYS.4.3.A18","C",,X,,,,X,,,,,,,,,,,,X
"APP.4.2","CIA","G 0.14","G 0.21","G 0.22","G 0.23","G 0.25","G 0.28","G 0.30","G 0.31","G 0.32","G 0.39","G 0.43","G 0.45","G 0.46"
"APP.4.2.A01","",X,,,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A02","",X,,,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A03","",X,,,,,,,,,,X,,
"APP.4.2.A04","",X,,X,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A05","",X,,X,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A06","",X,,X,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A07","",X,,X,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A08","",X,,X,X,X,X,X,X,X,X,X,X,X
"APP.4.2.A09","",,,,,X,,,,,,,,
"APP.4.2.A10","",,,,,,X,,,,,,,
"APP.4.2.A11","",X,,,X,X,X,X,X,,,,X,X
"APP.4.2.A12","",X,,X,,,,,,X,,,,X
"APP.4.2.A13","",,,,X,,,,,,,,,
"APP.4.2.A14","",,,X,,,,X,,X,,,,
"APP.4.2.A15","",X,,,X,,,X,,,,,,
"APP.4.2.A16","",X,,,X,,,X,,,,,,
"APP.4.2.A17","",X,,,X,,,X,,,,,,
"APP.4.2.A18","",X,,,X,,,,,,,,,
"APP.4.2.A19","",,,,X,,,,,,,,,
"APP.4.2.A20","",,,,X,,,,,,,,,
"APP.4.2.A21","",,X,X,X,,,X,X,X,,,,
"APP.4.2.A22","",X,,X,,,,,,,,,,X
"APP.4.2.A23","",X,,X,,,,,,,,,,X
"APP.4.2.A24","",,,,X,,,,,,,,,
"APP.4.2.A25","",,,,X,,,,,,,,,
"APP.4.2.A26","",X,X,X,X,X,X,X,,,X,X,X,X
"APP.4.2.A27","",X,,X,X,,,X,X,,,,,
"APP.4.2.A28","",,,,,X,,,,,,,,
"APP.4.2.A29","",,,,,X,,,,,,,X,X
"APP.4.2.A30","",X,X,X,X,X,X,X,X,X,,X,X,X
